id,name,category ,price,description,discount,img,VIP,brand
1,SE215 SE,audio,990,"Advanced In-Ear Headphones SE215 SE is a limited product in Asia. It uses the moving coil unit and internal design to adjust and boost the air volume. Acoustic Resistance Screen is added to enhance the feeling and texture of the low frequency. In addition to the shell to blue, headset is also changed to dark gray, length shortened to 1.16m, with the Asian body shape and use habits, and the outer layer Kevlar reinforced fiber protection, and support for line design.",0.9,img/1.jpg,0,SHURE
2,SE215m+ Special Edition ,audio,990,"White Special Edition Advanced In-Ear Headphones The Shure SE215m + Special Edition is a white special edition of the SE215. The logo on the body turns to black and is equipped with a remote control and a microphone. With a micro-moving coil unit, adjustable soft rubber, the durable Kevlar® fiber-reinforced earphone cord can be removed, easily replaced and personalized to wear. Personalization and comfort Compact and ergonomic design, suitable for stage and daily use, even if the long wearing is also more comfortable. A variety of sizes and styles of earplugs, with different ear shape, fully meet the requirements of individual users. Shure unique sound insulation ear can effectively block the environmental noise, effectively reduce the noise from the outside world, regardless of noise or comfort level of first-class level.",0.9,img/2.jpg,1,SHURE
3,SE-315,audio,1480,"In-Line Headphones Designed to enjoy high-quality sound, the SE315 features a balanced armature driver for a wider range of sounds. In addition, Tuned BassPort brings more bass sound effects. Anytime, anywhere to bring you extreme music world. The new version of the line is more to provide the function, the user can replace the high quality of wire, the user can for different types, music and replacement, flexibility can be greatly enhanced.",0.9,img/3.jpg,0,SHURE
4,SE-535,audio,3600,"Fever-level three-element in-ear headphones SE535 equipped with a triple high-resolution micro-drive unit, with independent tweeter and dual woofers, creating a wide sound field and deep bass. It is the perfect choice for professionals and audio enthusiasts, suitable for in-ear personal monitoring and portable audio equipment. Detachable Kevlar ™ reinforced cable with adjustable soft glue for easy replacement and safety.",0.9,img/4.jpg,,SHURE
5,SE-535 RD ,audio,3900,"Shure SE535 Limited Edition, in addition to eye-catching red appearance, the new version will switch to the new acoustic structure, so that some high-frequency part of the more prominent, compared to the traditional strong impression, high-frequency performance After the upgrade will be a new experience. Headset line, in line with the habits of users in Asia, the special version of the headset line will be adjusted to 1.16m, more convenient to use, but also to retain Kevlar reinforced fiber for protection.",0.9,img/5.jpg,,SHURE
6,ATH-E40,audio,3200,"The ATH-E40 features specially designed housings that provide incredible isolation. The isolation – and the comfort – are enhanced by the four sizes of included silicone eartips (XS/S/M/L), which allow you to create a custom fit.",,img/6.jpg,,Audio-Technica
7,ATH-CKR10,audio,1700,"The ATH-CKR10's unique push-pull driver system incorporates two 13mm drivers facing each other, generating phase-aligned audio signals that are mixed to compensate for each driver's infefficiencies, while providing an equal and tailored response without artificial colouration.",,img/7.jpg,,Audio-Technica
8,ATH-CKX7,audio,800,"Audio-Technica SonicFuel™ headphones are specifically designed for active, daily use, to power you forward by delivering extraordinary comfort, style and an immersive listening experience that never sounds artificial, processed or filtered. Just pure sonic goodness for the high-octane tempo of your life.",,img/8.jpg,,Audio-Technica
9,Touch Bar and Touch ID Mac Pro,computer,15000,"It’s faster and more powerful than before, yet remarkably thinner and lighter. It has the brightest, most colorful Mac notebook display ever. And it introduces the Touch Bar — a Multi-Touch enabled strip of glass built into the keyboard for instant access to the tools you want, right when you want them. ",,img/9.jpeg,,Apple
10,MacBook Air,computer,8000,"Underneath the sleek exterior, MacBook Air is packed with powerful components that give you smoother graphics, faster storage, and all-around serious performance.",,img/10.png,,Apple
11,HP - ENVY,computer,8200,"The Intel Core i5 processor provides powerful performance when using your favorite programs and apps, and the 1TB hard drive lets you store plenty of digital files. This HP convertible laptop rotates a full 360 degrees for customized viewing of the 15.6-inch screen.",,img/11.jpg,,HP
12,HP - 17-X121DX,computer,9200,Take your projects or home entertainment wherever you go with this HP notebook. Store the latest movies on the 1TB hard drive and view them on the 17.3-inch backlit HD display. The 4GB of DDR4 RAM and a seventh-generation Intel Core i5 processor on this HP notebook handle multitasking efficiently.,,img/12.jpg,,HP
13,Samsung - XE500C13-K02US,computer,11000,"Unleash the power of modern computing with this Samsung Chromebook laptop. It has all the space you need with the 11.6-inch screen, which ensures portability, and 4GB of RAM and an Intel Celeron processor lets you complete basic office tasks all day long. ",,img/13.jpg,,Samsung
14,Samsung - Notebook 7,computer,12000,Satisfy your entertainment needs with this Samsung Notebook 7 Spin laptop. Watch HD movies and play 3-D games in video HDR mode for detail and texture that enhance your viewing experience. The NVIDIA GeForce 940MX graphics of this 15.6-inch Notebook 7 Spin laptop makes gaming and streaming movies more efficient without compromise.,,img/14.jpg,,Samsung
15,Lenovo - Ideapad,computer,9800,"Get everyday computing wherever you with this Lenovo Ideapad 11.6-inch laptop. It includes 32GB of flash storage so that you can store basic files, and 2GB of RAM makes cloud computing a breeze. It also includes a dual-core Intel Celeron processor and Wi-Fi for easy connectivity from this Lenovo Ideapad 11.6-inch laptop.",,img/15.jpg,,Lenovo
16,Lenovo - 100S-14IBR ,computer,10000,"Take this Lenovo Ideapad laptop with you on the road, and stay on top of work while keeping connected with clients and co-workers. Intel processing offers dependable speed for all of your programming, and Intel HD graphics provide stunning visuals. ",,img/16.jpg,,Lenovo
17,HSS PROFESSIONAL HAND TAPS,Engineering Tools,50,"SINGLE, TAPER, PLUG & BOTTOMING ENGINEERING TOOLS MODEL",,img/17.jpg,,EW Equipment
18,RDGTOOLS TAP,Engineering Tools,30,"1/2" SHANK MODEL ENGINEERING TOOLS""/2" SHANK MODEL ENGINEERING TO""2" SHANK MODEL ENGINEERING """ SHANK MODEL ENGINEERING"" SHANK MODEL ENGINEERING",,img/18.jpg,,RDGTools HBM Myford
